id,link,screen_name,source,text,time,user_id
926266243128156161,https://www.twitter.com/SenatorCantwell/statuses/926266243128156161,SenatorCantwell,Twitter for Android,NEW Republican tax plan is a big hit to the pocket books of middle class Washingtonians &amp; I demand #taxfairness for every WA state family,2017-11-03T01:54:16Z,117501995
926266180486270977,https://www.twitter.com/SenatorCantwell/statuses/926266180486270977,SenatorCantwell,TweetDeck,#Open Enrollment through @WAplanfinder is open now so let's #GetCoveredWA! Explore your health insurance options at: https://www.wahbexchange.org/,2017-11-03T01:54:01Z,117501995
926266101281034240,https://www.twitter.com/RepCardenas/statuses/926266101281034240,RepCardenas,Twitter for iPhone,@WashingtonPost Shares the Winners and Losers in the GOP Tax Plan that puts #BillionairesFirst https://www.washingtonpost.com/news/wonk/wp/2017/11/02/winners-and-losers-in-the-gop-tax-plan/,2017-11-03T01:53:42Z,1222257180
926266048839602176,https://www.twitter.com/LegioninDC/statuses/926265704248152064,mattgaetz,Twitter for iPhone,"RT @LegioninDC @realDonaldTrump @IngrahamAngle @FoxNews 92% of America’s veterans support #medical #cannabis research. Please remove marijuana from Schedule I, Mr President, and task @DeptVetAffairs with doing research into MMJ and #PTSD, #chronic pain. http://pbs.twimg.com/media/DNrBvpxWkAMmTo8.jpg",2017-11-03T01:53:29Z,58579942
926265950671917056,https://www.twitter.com/SenatorCantwell/statuses/926265950671917056,SenatorCantwell,Twitter for Android,TMRW @ 11AM PT IN SEATTLE: I'm uniting w/ working &amp; middleclass Washingtonians to reject the NEW GOP tax bill that raises taxes on families!,2017-11-03T01:53:06Z,117501995
926265727065247744,https://www.twitter.com/WVVA/statuses/926259952829820928,RepEvanJenkins,Twitter for iPhone,"RT @WVVA Greenbrier Humane Society holding their ""Clear the Shelter"" event on Saturday.
http://www.wvva.com/story/36750646/2017/11/02/greenbrier-humane-society-holding-clear-the-shelter-event?utm_medium=social&utm_source=twitter_WVVA http://pbs.twimg.com/media/DNq8gjYXcAAAMlh.jpg",2017-11-03T01:52:13Z,2953713339
926265171160567808,https://www.twitter.com/RepMikeQuigley/statuses/926265171160567808,RepMikeQuigley,TweetDeck,The US is withdrawing from #transparency org @EITIorg. This backwards step diminishes our ability to hold #oil &amp; #gas companies accountable.,2017-11-03T01:50:00Z,56864092
926264835070922752,https://www.twitter.com/RepCardenas/statuses/926264835070922752,RepCardenas,Twitter for iPhone,"This #BillionaireFirst tax cut plan would lower the property value and raise taxes on millions of working families. https://twitter.com/repcardenas/status/926264635388579840 QT @RepCardenas Did you know – the average family in the 29th district makes $67,971 a year? This can and will happen. Check it out: https://www.census.gov/mycd/?st=06&cd=29 https://twitter.com/repcardenas/status/926264244538134530",2017-11-03T01:48:40Z,1222257180
926264787574632448,https://www.twitter.com/GovPressOffice/statuses/926168733755703296,NormaJTorres,Twitter for iPhone,RT @GovPressOffice ➡️@JerryBrownGov Issues Statement on Republican #BillionairesFirst Tax Proposal: http://bit.ly/2gXE0of http://pbs.twimg.com/media/DNppBcNUMAAqUD6.jpg,2017-11-03T01:48:29Z,236279233
926264723829608448,https://www.twitter.com/andybiggs4az/statuses/926264723829608448,andybiggs4az,Twitter for Android,"Americans are in desperate need of a fairer and simpler tax system, &amp; I believe this bill will be a welcome relief to millions.",2017-11-03T01:48:13Z,702601370344402944
